1,2,SOL,SOMBRA,50,100,150,CCN51,EET8,ICS1,ICS95,SCC19,SCC52,SCC61,SCC64,SCC83,TSH565,Transpiración,Uso eficiente del agua,No TOTAL RAMAS,Producción
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1,4966666666666668","1,8467535959134291","2,3333333333333335","414,0300000000001"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"1,57","3,2265861707800965","2,5","3444,8166666666666"
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,8633333333333333","1,8365267236346263","2,5","1225,92"
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"1,5766666666666669","1,7410140679053043","2,6666666666666665","335,58"
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"2,2133333333333334","1,5857199442938785","2,1666666666666665","552,0"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1,7933333333333332","2,1845105678106416","2,3333333333333335","222,5969230769231"
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"2,14","2,342978320654309","2,5","3696,42"
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,8633333333333333","1,8365267236346263","2,3333333333333335","13058,804"
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"1,7266666666666666","1,586718398560504","2,0","7102,2707142857125"
0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"1,5766666666666669","1,7410140679053043","2,5","4604,28"
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"2,2133333333333334","1,5857199442938785","2,0","4932,12"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"2,18","2,2916867076022296","2,1666666666666665","6826,539999999998"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1,7933333333333332","2,1845105678106416","2,0","7460,91"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"2,14","2,342978320654309","2,1666666666666665","6841,924285714286"
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"3,315857224154861","3,2417596909792756","2,3333333333333335","4633,358823529412"
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"4,001530456980325","3,1412921611719895","2,0","843,4000000000001"
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"3,438828487748639","3,37702503751443","2,1666666666666665","582,4"
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"2,689843911820136","3,8592363393040614","2,1666666666666665","3754,8503999999994"
